LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
".K. Durant, .J. Harris",BKN,17,115,140.7,114.5,26.2,52.2,2.40,18.3,23.2,73.3,50.7,0.1,68.6,72.5,102.03,62.5
".K. Durant, .J. Green",BKN,14,87,136.2,123.1,13.1,48.2,2.16,16.9,25.4,76.5,53.9,0.1,67.6,71.7,102.88,57.0
".K. Durant, .K. Irving",BKN,12,86,141.1,117.0,24.0,50.6,2.44,17.9,23.6,75.3,51.6,0.1,68.0,72.4,102.66,61.5
".K. Durant, .J. Harden",BKN,8,63,146.2,121.7,24.4,51.5,2.43,19.3,26.7,76.7,55.2,0.1,73.4,76.5,98.41,61.5
".K. Durant, .T. Luwawu-Cabarrot",BKN,9,36,138.4,112.3,26.0,59.0,3.29,20.5,10.0,63.2,39.7,0.1,73.8,77.2,110.78,60.5
".K. Durant, .B. Brown",BKN,9,32,110.1,138.0,-27.9,58.3,1.56,15.6,29.2,65.7,50.8,0.1,59.8,65.7,106.36,44.4
".K. Durant, .L. Shamet",BKN,7,21,117.8,131.8,-14.0,50.0,1.50,15.5,25.0,68.2,50.0,0.1,59.1,66.2,103.51,47.8
".K. Durant, .T. Prince",BKN,4,18,115.8,136.1,-20.3,28.6,0.80,9.1,13.3,80.0,46.7,0.1,59.3,65.5,101.00,46.1
".K. Durant, .D. Jordan",BKN,6,13,116.7,103.3,13.3,69.2,4.50,22.0,18.2,68.8,48.1,0.1,63.0,64.9,113.39,62.5
".K. Durant, .R. Perry",BKN,3,6,190.0,154.5,35.5,75.0,0.00,37.5,0.0,60.0,42.9,0.0,95.0,95.0,91.64,56.1
".K. Durant, .S. Dinwiddie",BKN,1,5,170.0,60.0,110.0,50.0,0.00,21.4,25.0,55.6,46.2,0.0,75.0,78.1,103.60,102.5
".K. Durant, .C. Chiozza",BKN,2,0,200.0,200.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,113.6,600.00,50.0
".K. Durant, .R. Kurucs",BKN,1,0,0.0,200.0,-200.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.00,-100.0
